('Ano','Mês','Países','Valor US$ FOB'),
(2026,'Março','Suazilândia',4490),
(2026,'Março','Suriname',12578),
(2026,'Março','Suécia',194493345),
(2026,'Março','Suíça',240418856),
(2026,'Março','São Cristóvão e Névis',4776),
(2026,'Março','São Vicente e Granadinas',105001),
(2026,'Março','Sérvia',5643656),
(2026,'Março','Síria',37837),
(2026,'Março','Tailândia',214844373),
(2026,'Março','Taiwan (Formosa)',236078735),
(2026,'Março','Tanzânia',624),
(2026,'Março','Tcheca, República',82406040),
(2026,'Março','Terras Austrais Francesas',74),
(2026,'Março','Timor Leste',290),
(2026,'Março','Togo',101073),
(2026,'Março','Toquelau',1023),
(2026,'Março','Trinidad e Tobago',32660533),
(2026,'Março','Tunísia',8154725),
(2026,'Março','Turcomenistão',138718655),
(2026,'Março','Turquia',95548718),
(2026,'Março','Ucrânia',7296370),
(2026,'Março','Uganda',20),
(2026,'Março','Uruguai',201354255),
(2026,'Março','Uzbequistão',11728083),
(2026,'Março','Vanuatu',387),
(2026,'Março','Venezuela',35601362),
(2026,'Março','Vietnã',421781992),
(2026,'Março','Virgens, Ilhas (Americanas)',11),
(2026,'Março','Virgens, Ilhas (Britânicas)',430045),
(2026,'Março','Zimbábue',437),
(2026,'Março','Zâmbia',295729),
(2026,'Março','África do Sul',75182219),
(2026,'Março','Áustria',146364832),
(2026,'Março','Índia',690305636),
(2026,'Fevereiro','Afeganistão',42950),
(2026,'Fevereiro','Aland, Ilhas',1410),
(2026,'Fevereiro','Albânia',167094),
(2026,'Fevereiro','Alemanha',901212566),
(2026,'Fevereiro','Andorra',40),
(2026,'Fevereiro','Angola',13497),
(2026,'Fevereiro','Anguilla',1098),
(2026,'Fevereiro','Antártica',472227),
(2026,'Fevereiro','Antígua e Barbuda',443),
(2026,'Fevereiro','Argentina',849650156),
(2026,'Fevereiro','Argélia',19524568),
(2026,'Fevereiro','Armênia',2624316),
(2026,'Fevereiro','Aruba',751),
(2026,'Fevereiro','Arábia Saudita',239227483),
(2026,'Fevereiro','Austrália',57765922),
(2026,'Fevereiro','Azerbaijão',4817),
(2026,'Fevereiro','Bancos Centrais',183),
(2026,'Fevereiro','Bangladesh',26650322),
(2026,'Fevereiro','Barbados',19045),
(2026,'Fevereiro','Barein',6769067),
(2026,'Fevereiro','Belarus',138060),
(2026,'Fevereiro','Belize',7688),
(2026,'Fevereiro','Benin',28632),
(2026,'Fevereiro','Bermudas',75006),
(2026,'Fevereiro','Bolívia',92476567),
(2026,'Fevereiro','Botsuana',68119),
(2026,'Fevereiro','Brasil',28983269),
(2026,'Fevereiro','Bulgária',8851897),
(2026,'Fevereiro','Butão',29619),
(2026,'Fevereiro','Bélgica',147827388),
(2026,'Fevereiro','Bósnia-Herzegovina',750694),
(2026,'Fevereiro','Cabo Verde',981),
(2026,'Fevereiro','Camarões',562674),
(2026,'Fevereiro','Camboja',19320142),
(2026,'Fevereiro','Canadá',292366876),
(2026,'Fevereiro','Catar',14078035),
(2026,'Fevereiro','Cayman, Ilhas',548),
(2026,'Fevereiro','Cazaquistão',21381357),
(2026,'Fevereiro','Chade',63),
(2026,'Fevereiro','Chile',315002387),
(2026,'Fevereiro','China',5493290674),
(2026,'Fevereiro','Chipre',145983),
(2026,'Fevereiro','Cocos (Keeling), Ilhas',350),
(2026,'Fevereiro','Colômbia',178059284),
(2026,'Fevereiro','Comores',12511),
(2026,'Fevereiro','Congo, República Democrática',2663075),
(2026,'Fevereiro','Coreia do Norte',12651),
(2026,'Fevereiro','Coreia do Sul',2948538497),
(2026,'Fevereiro','Costa Rica',11710125),
(2026,'Fevereiro','Costa do Marfim',122903354),
(2026,'Fevereiro','Coveite (Kuweit)',12733846),
(2026,'Fevereiro','Croácia',5030015),
(2026,'Fevereiro','Cuba',9433),
(2026,'Fevereiro','Curaçao',234448),
(2026,'Fevereiro','Dinamarca',101310249),
(2026,'Fevereiro','Dominica',1391),
(2026,'Fevereiro','Egito',100498442),
(2026,'Fevereiro','El Salvador',1033716),
(2026,'Fevereiro','Emirados Árabes Unidos',85501987),
(2026,'Fevereiro','Equador',8627335),
(2026,'Fevereiro','Eslováquia',27618017),
(2026,'Fevereiro','Eslovênia',28708756),
(2026,'Fevereiro','Espanha',241400765),
(2026,'Fevereiro','Estados Unidos',2790064131),
(2026,'Fevereiro','Estônia',4441616),
(2026,'Fevereiro','Etiópia',289281),
(2026,'Fevereiro','Faroe, Ilhas',237),
(2026,'Fevereiro','Filipinas',22028481),
(2026,'Fevereiro','Finlândia',168741921),
(2026,'Fevereiro','França',364246644),
(2026,'Fevereiro','Gabão',67470684),
(2026,'Fevereiro','Gana',1391125),
(2026,'Fevereiro','Geórgia',13520),
(2026,'Fevereiro','Grécia',6878700),
(2026,'Fevereiro','Guatemala',4708366),
(2026,'Fevereiro','Guiana',69241554),
(2026,'Fevereiro','Guiana Francesa',1341),
(2026,'Fevereiro','Guiné',11),
(2026,'Fevereiro','Gâmbia',92),
(2026,'Fevereiro','Haiti',229093),
(2026,'Fevereiro','Honduras',3780929),
(2026,'Fevereiro','Hong Kong',81095037),
(2026,'Fevereiro','Hungria',36300084),
(2026,'Fevereiro','Ilha de Man',2516),
(2026,'Fevereiro','Indonésia',202896541),
(2026,'Fevereiro','Irlanda',75794333),
(2026,'Fevereiro','Irã',796792),
(2026,'Fevereiro','Islândia',360048),
(2026,'Fevereiro','Israel',84671278),
(2026,'Fevereiro','Itália',466645343),
(2026,'Fevereiro','Jamaica',33),
(2026,'Fevereiro','Japão',414341781),
(2026,'Fevereiro','Jordânia',236259),
(2026,'Fevereiro','Laos',1108485),
(2026,'Fevereiro','Lesoto',8),
(2026,'Fevereiro','Letônia',3360650),
(2026,'Fevereiro','Liechtenstein',772354),
(2026,'Fevereiro','Lituânia',3478089),
(2026,'Fevereiro','Luxemburgo',2516206),
(2026,'Fevereiro','Líbano',151483),
(2026,'Fevereiro','Líbia',532871),
(2026,'Fevereiro','Macau',727104),
(2026,'Fevereiro','Macedônia',1926443),
(2026,'Fevereiro','Madagascar',824027),
(2026,'Fevereiro','Maldivas',5),
(2026,'Fevereiro','Malta',667739),
(2026,'Fevereiro','Malásia',139477403),
(2026,'Fevereiro','Marrocos',109129281),
(2026,'Fevereiro','Marshall, Ilhas',84369),
(2026,'Fevereiro','Martinica',122),
(2026,'Fevereiro','Maurício',51967),
(2026,'Fevereiro','Mianmar',703744),
(2026,'Fevereiro','Moldávia',442918),
(2026,'Fevereiro','Mongólia',17418),
(2026,'Fevereiro','Montenegro',6616),
(2026,'Fevereiro','Montserrat',433),
(2026,'Fevereiro','Moçambique',4826123),
(2026,'Fevereiro','México',423160378),
(2026,'Fevereiro','Mônaco',266687),
(2026,'Fevereiro','Namíbia',6073),
(2026,'Fevereiro','Nauru',2543),
(2026,'Fevereiro','Nepal',19591),
(2026,'Fevereiro','Nicarágua',94998),
(2026,'Fevereiro','Nigéria',12235799),
(2026,'Fevereiro','Noruega',86323008),
(2026,'Fevereiro','Nova Caledônia',47119),
(2026,'Fevereiro','Nova Zelândia',7737659),
(2026,'Fevereiro','Não Definido',296358),
(2026,'Fevereiro','Níger',174),
(2026,'Fevereiro','Omã',107390045),
(2026,'Fevereiro','Organizações Internacionais',78),
(2026,'Fevereiro','Panamá',1667289),
(2026,'Fevereiro','Paquistão',11371500),
(2026,'Fevereiro','Paraguai',248638398),
(2026,'Fevereiro','Países Baixos (Holanda)',194087778),
(2026,'Fevereiro','Peru',87740632),
(2026,'Fevereiro','Pitcairn',10679),
(2026,'Fevereiro','Polônia',83047634),
(2026,'Fevereiro','Porto Rico',35928897),
(2026,'Fevereiro','Portugal',76318367),
(2026,'Fevereiro','Quirguistão',66),
(2026,'Fevereiro','Quênia',148036),
(2026,'Fevereiro','Reino Unido',223312000),
(2026,'Fevereiro','República Centro-Africana',31838),
(2026,'Fevereiro','República Dominicana',3898510),
(2026,'Fevereiro','Reunião',37169),
(2026,'Fevereiro','Romênia',29884553),
(2026,'Fevereiro','Rússia',656953684),
(2026,'Fevereiro','Samoa',10117),
(2026,'Fevereiro','Samoa Americana',70854),
(2026,'Fevereiro','San Marino',610719),
(2026,'Fevereiro','Seicheles',221610),
(2026,'Fevereiro','Senegal',48503),
(2026,'Fevereiro','Serra Leoa',632),
(2026,'Fevereiro','Singapura',63047084),
(2026,'Fevereiro','Somália',448),
(2026,'Fevereiro','Sri Lanka',4699333),
(2026,'Fevereiro','Suazilândia',1582),
(2026,'Fevereiro','Sudão',19),
(2026,'Fevereiro','Suriname',137),
(2026,'Fevereiro','Suécia',173609882),
(2026,'Fevereiro','Suíça',274856220),
(2026,'Fevereiro','Svalbard e Jan Mayen',11),
(2026,'Fevereiro','São Cristóvão e Névis',1291),
(2026,'Fevereiro','São Pedro e Miquelon',544),
(2026,'Fevereiro','Sérvia',5002037),
(2026,'Fevereiro','Síria',35351),
(2026,'Fevereiro','Tadjiquistão',557),
(2026,'Fevereiro','Tailândia',185017904),
(2026,'Fevereiro','Taiwan (Formosa)',207133869),
(2026,'Fevereiro','Tanzânia',84613),
(2026,'Fevereiro','Tcheca, República',56667442),
(2026,'Fevereiro','Terras Austrais Francesas',55),
(2026,'Fevereiro','Toquelau',29206),
(2026,'Fevereiro','Trinidad e Tobago',18383348),
(2026,'Fevereiro','Tunísia',8931112),
(2026,'Fevereiro','Turcomenistão',73340094),
(2026,'Fevereiro','Turquia',79558768),
(2026,'Fevereiro','Ucrânia',3376631),
(2026,'Fevereiro','Uganda',1982),
(2026,'Fevereiro','Uruguai',143539530),
(2026,'Fevereiro','Uzbequistão',1272295),
(2026,'Fevereiro','Vaticano',181),
(2026,'Fevereiro','Venezuela',37895091),
(2026,'Fevereiro','Vietnã',303671617),
(2026,'Fevereiro','Virgens, Ilhas (Britânicas)',693031),
(2026,'Fevereiro','Zimbábue',68322),
(2026,'Fevereiro','África do Sul',84836008),
(2026,'Fevereiro','Áustria',94458154),
(2026,'Fevereiro','Índia',496949390),
(2026,'Janeiro','Afeganistão',44655),
(2026,'Janeiro','Aland, Ilhas',2557),
(2026,'Janeiro','Albânia',316926),
(2026,'Janeiro','Alemanha',1101262032),
(2026,'Janeiro','Andorra',6915),
(2026,'Janeiro','Anguilla',170),
(2026,'Janeiro','Argentina',766219218),
(2026,'Janeiro','Argélia',23380422),
(2026,'Janeiro','Armênia',3789),
(2026,'Janeiro','Aruba',31589),
(2026,'Janeiro','Arábia Saudita',207354473),
(2026,'Janeiro','Austrália',86382628),
(2026,'Janeiro','Azerbaijão',1541),
(2026,'Janeiro','Bancos Centrais',1195),
(2026,'Janeiro','Bangladesh',23601379),
(2026,'Janeiro','Barbados',133063),
(2026,'Janeiro','Barein',17889619),
(2026,'Janeiro','Belarus',130909),
(2026,'Janeiro','Belize',32658),
(2026,'Janeiro','Benin',5348),
(2026,'Janeiro','Bermudas',128244),
(2026,'Janeiro','Bolívia',80433955),
(2026,'Janeiro','Botsuana',69807),
(2026,'Janeiro','Brasil',54712324),
(2026,'Janeiro','Bulgária',11158767),
(2026,'Janeiro','Butão',57031),
(2026,'Janeiro','Bélgica',143235377),
(2026,'Janeiro','Bósnia-Herzegovina',1237084),
(2026,'Janeiro','Camarões',1638658),
(2026,'Janeiro','Camboja',21449675),
(2026,'Janeiro','Canadá',230780973),
(2026,'Janeiro','Catar',23474429),
(2026,'Janeiro','Cayman, Ilhas',635),
(2026,'Janeiro','Cazaquistão',44498516),
(2026,'Janeiro','Chile',517442533),
(2026,'Janeiro','China',5749375573),
(2026,'Janeiro','Chipre',302397),
(2026,'Janeiro','Christmas (Navidad), Ilha',173),
(2026,'Janeiro','Colômbia',161361166),
(2026,'Janeiro','Comores',9612),
(2026,'Janeiro','Congo',32201),
(2026,'Janeiro','Congo, República Democrática',2912434),
(2026,'Janeiro','Coreia do Norte',1239),
(2026,'Janeiro','Coreia do Sul',485981692),
(2026,'Janeiro','Costa Rica',14453642),
(2026,'Janeiro','Costa do Marfim',21897700),
(2026,'Janeiro','Coveite (Kuweit)',15423),
(2026,'Janeiro','Croácia',7207345),
